accuracy,auc_macro_ovr,avg_batch_inference_time_sec,clutter_leakage_ratio,complexity_entropy,complexity_entropy_normalized,dataset,explanation_runtime_sec,f1_macro,faithfulness_deletion_auc,faithfulness_insertion_auc,max_sensitivity,model,model_size_mb,n_xai_samples,paper_deletion_auc,part_overlap_ratio,precision_macro,recall_macro,stability_cosine_sim,xai_method
0.9518,0.998259,0.002921,,10.275393390655518,0.9493778133487916,CIFAR10,0.1191357771555582,0.951737,0.3503029270038982,0.623650464314194,0.810561399658521,resnet18,42.654579,60,0.279352694976356,,0.952308,0.9518,0.7768704831600189,intgrad
0.9518,0.998259,0.002921,,9.60357092221578,0.8873058982602721,CIFAR10,0.024217943350474,0.951737,0.3634385193579411,0.7700575196089822,0.0920747857851286,resnet18,42.654579,60,0.2146863791966281,,0.952308,0.9518,0.9944648636711968,eg_gradcam
0.9653,0.998979,0.007615,,10.192917569478352,0.9417575975783152,CIFAR10,0.6310401042302449,0.965294,0.4537999095438245,0.6631642845058177,1.2113638947407404,efficientnet,15.336449,60,0.1385062147132431,,0.965404,0.9653,0.5484242409467697,intgrad
0.9653,0.998979,0.007615,,9.392907492319743,0.867842002443968,CIFAR10,0.0440707763036092,0.965294,0.4186091422118693,0.8102178913038316,0.720291826625665,efficientnet,15.336449,60,0.3738890123472112,,0.965404,0.9653,0.6333677633298446,eg_gradcam
0.964,0.999914,0.235027,0.1414981816332239,9.11936674118042,0.8425686615308501,FUNNYBIRDS,0.1564864675203959,0.963855,0.0729894343547469,0.8008662106335611,3.010918748378754,simplecnn,1.53437,60,0.0082093149631991,0.1067343149970753,0.968952,0.964,0.4063278800083531,intgrad
0.964,0.999914,0.235027,0.0722387528292769,8.366532103220623,0.7730117623225458,FUNNYBIRDS,0.012547214825948,0.963855,0.0686363264599577,0.8341919222531874,0.6307030449310939,simplecnn,1.53437,60,0.0334366829200446,0.0891571933572391,0.968952,0.964,0.8216504865222506,eg_gradcam
0.966,0.999788,0.00249,0.2366661580326034,9.89149751663208,0.9139083951399044,FUNNYBIRDS,0.6831851998964945,0.966015,0.071572840726581,0.8103442636299413,1.0053352534770963,resnet18,42.732857,60,0.0050139495627277,0.1033582564024312,0.969136,0.966,0.677308279607031,intgrad
0.966,0.999788,0.00249,0.0612166526792299,9.877725966771443,0.912635995787778,FUNNYBIRDS,0.026680322488149,0.966015,0.1168122079969121,0.7844190698927275,0.5466873938838641,resnet18,42.732857,60,0.1033007385920687,0.0787403677424277,0.969136,0.966,0.8565752893686295,eg_gradcam
0.972,0.999878,0.010587,0.2354657816433966,9.641139570871989,0.8907769908166052,FUNNYBIRDS,0.6141804218292236,0.971904,0.1230238187081123,0.8615215238785653,0.9957900981108349,efficientnet,15.531914,60,0.0172893578145081,0.1007337046361994,0.973859,0.972,0.6312794354226855,intgrad
0.972,0.999878,0.010587,0.0488797334757508,9.32687203089396,0.8617407662588017,FUNNYBIRDS,0.0312614242235819,0.971904,0.1506439919606612,0.8645775506325074,0.9143393591046334,efficientnet,15.531914,60,0.1371801236349404,0.0871124844230818,0.973859,0.972,0.4435288989623123,eg_gradcam
0.1225,0.5223287611111112,0.0068587312302269,,9.93569695154826,0.9179921281199124,CIFAR10,0.1329495112101237,0.0678098974007615,0.0976665447224621,0.1016449806107967,1.0035025561849276,resnet50,89.75418853759766,60,0.0981477031891699,,0.104144299658586,0.1225,0.6348970093660884,gradcam
0.1225,0.5223287611111112,0.0068587312302269,,9.23573493162791,0.8533203061628563,CIFAR10,0.1340068697929382,0.0678098974007615,0.0976311098991168,0.1017186424729448,1.1666960328817368,resnet50,89.75418853759766,60,0.0981474342243191,,0.104144299658586,0.1225,0.4916079799095011,eg_gradcam
0.1225,0.5223287611111112,0.0068587312302269,,10.331644264856974,0.9545750189367452,CIFAR10,1.811929714679718,0.0678098974007615,0.1000556844735035,0.09935598247857,1.0221681495507555,resnet50,89.75418853759766,60,0.1033658119301045,,0.104144299658586,0.1225,0.6256171759631897,intgrad
0.1225,0.5223287611111112,0.0068587312302269,,10.490570259094238,0.969258720782211,CIFAR10,18.39620743195216,0.0678098974007615,0.0999730512361835,0.0990341307181451,0.6092644860347112,resnet50,89.75418853759766,60,0.1014629297992325,,0.104144299658586,0.1225,0.8570429788695442,shap
0.1225,0.5223287611111112,0.0068587312302269,,10.578369172414144,0.977370754762132,CIFAR10,1.8396791617075603,0.0678098974007615,0.0943607564394672,0.1036943918369986,0.8025183290243149,resnet50,89.75418853759766,60,0.0955229388671882,,0.104144299658586,0.1225,0.7484981816675927,lime
